Rk,G,Date,Age,Tm,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Amir Coffey,Shared Games with Brandon Boston Jr.,Shared Games with Ivica Zubac,Shared Games with Jason Preston,Shared Games with John Wall,Shared Games with Kawhi Leonard,Shared Games with Luke Kennard,Shared Games with Marcus Morris,Shared Games with Moses Brown,Shared Games with Moussa Diabaté,Shared Games with Nicolas Batum,Shared Games with Paul George,Shared Games with Reggie Jackson,Shared Games with Robert Covington,Shared Games with Terance Mann,Amir Coffey,Brandon Boston Jr.,Ivica Zubac,Jason Preston,John Wall,Kawhi Leonard,Luke Kennard,Marcus Morris,Moses Brown,Moussa Diabaté,Nicolas Batum,Paul George,Reggie Jackson,Robert Covington,Terance Mann,Xavier Moon,co_inf with Amir Coffey,co_inf with Brandon Boston Jr.,co_inf with Ivica Zubac,co_inf with Jason Preston,co_inf with John Wall,co_inf with Kawhi Leonard,co_inf with Luke Kennard,co_inf with Marcus Morris,co_inf with Moses Brown,co_inf with Moussa Diabaté,co_inf with Nicolas Batum,co_inf with Paul George,co_inf with Reggie Jackson,co_inf with Robert Covington,co_inf with Terance Mann,co_inf with Xavier Moon,Shared Games with Mason Plumlee,Shared Games with Bones Hyland,Shared Games with Eric Gordon,Shared Games with Russell Westbrook,Bones Hyland,Eric Gordon,Justin Holiday,Mason Plumlee,Russell Westbrook,co_inf with Mason Plumlee,co_inf with Bones Hyland,co_inf with Eric Gordon,co_inf with Justin Holiday,co_inf with Russell Westbrook,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS,PER,WS,BPM,OBPM,DBPM,Co_Points_Share,TS%,3PAr,FTr,VORP,OWS,New Column,Result
24.0,,2022-12-03,29-192,LAC,SAC,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,,83.0,4.368421052631579,0.0,88.5,4.657894736842105,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-13),L (-13)
25.0,,2022-12-05,29-194,LAC,CHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,,97.0,5.105263157894737,0.0,106.9,5.626315789473685,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-27),L (-27)
26.0,,2022-12-07,29-196,LAC,ORL,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,,92.0,4.842105263157895,0.0,100.1,5.268421052631578,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,W (+2),W (+2)
27.0,,2022-12-08,29-197,LAC,MIA,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,,95.0,5.0,0.0,99.5,5.2368421052631575,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-5),L (-5)
28.0,,2022-12-10,29-199,LAC,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,,96.0,5.052631578947368,0.0,104.1,5.478947368421053,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-5),L (-5)
29.0,,2022-12-12,29-201,LAC,BOS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,,79.0,4.157894736842105,0.0,86.60000000000001,4.557894736842106,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,W (+7),W (+7)
30.0,,2022-12-14,29-203,LAC,MIN,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,,53.0,2.789473684210526,0.0,61.6,3.2421052631578946,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,W (+20),W (+20)
31.0,,2022-12-15,29-204,LAC,PHO,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,,59.0,3.1052631578947367,0.0,70.5,3.710526315789474,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,W (+11),W (+11)
32.0,,2022-12-17,29-206,LAC,WAS,,0.0,0.0,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,,59.0,3.1052631578947367,0.0,73.69999999999999,3.878947368421052,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-16),L (-16)
33.0,23.0,2022-12-21,29-210,LAC,CHO,0.0,19.466666666666665,4.0,8.0,0.5,0.0,2.0,0.0,6.0,7.0,0.857,0.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,14.0,8.1,-8.0,6.0,4.0,0.6666666666666666,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,1.0,97.0,5.105263157894737,5.699999999999996,99.6,5.242105263157894,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,W (+9),W (+9)
34.0,24.0,2022-12-23,29-212,LAC,PHI,0.0,22.83333333333333,8.0,13.0,0.615,2.0,5.0,0.4,3.0,7.0,0.429,0.0,4.0,4.0,4.0,0.0,1.0,3.0,0.0,21.0,15.2,8.0,8.0,6.0,0.75,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,7.0,111.0,5.842105263157895,13.999999999999996,116.6,6.136842105263158,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,W (+21),W (+21)
35.0,25.0,2022-12-26,29-215,LAC,DET,0.0,22.066666666666663,7.0,12.0,0.583,2.0,6.0,0.333,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,16.0,6.5,-1.0,6.0,5.0,0.8333333333333334,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,2.0,85.0,4.473684210526316,6.500000000000002,94.5,4.973684210526316,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-5),L (-5)
36.0,26.0,2022-12-27,29-216,LAC,TOR,0.0,23.6,8.0,14.0,0.571,2.0,3.0,0.667,4.0,4.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,22.0,18.4,7.0,11.0,6.0,0.5454545454545454,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,9.0,101.0,5.315789473684211,16.800000000000004,111.6,5.873684210526315,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,W (+11),W (+11)
37.0,27.0,2022-12-29,29-218,LAC,BOS,0.0,30.85,5.0,12.0,0.417,3.0,6.0,0.5,6.0,8.0,0.75,1.0,3.0,4.0,2.0,0.0,1.0,1.0,2.0,19.0,13.7,-12.0,6.0,2.0,0.3333333333333333,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,5.0,93.0,4.894736842105263,11.299999999999995,101.40000000000002,5.336842105263159,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,W (+11),W (+11)
38.0,28.0,2022-12-31,29-220,LAC,IND,0.0,23.516666666666666,2.0,3.0,0.667,0.0,0.0,,5.0,6.0,0.833,0.0,5.0,5.0,2.0,0.0,2.0,2.0,3.0,9.0,8.4,6.0,3.0,2.0,0.6666666666666666,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,7.0,92.0,4.842105263157895,6.400000000000002,122.09999999999997,6.426315789473683,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-6),L (-6)
39.0,29.0,2023-01-02,29-222,LAC,MIA,0.0,25.516666666666666,1.0,8.0,0.125,1.0,4.0,0.25,6.0,6.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,9.0,5.4,-16.0,4.0,0.0,0.0,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,-1.0,83.0,4.368421052631579,2.9999999999999987,85.19999999999999,4.484210526315789,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-1),L (-1)
40.0,30.0,2023-01-05,29-225,LAC,DEN,0.0,19.58333333333333,6.0,11.0,0.545,1.0,4.0,0.25,0.0,0.0,,0.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,13.0,7.8,-24.0,7.0,5.0,0.7142857142857143,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,5.0,83.0,4.368421052631579,7.800000000000002,100.4,5.28421052631579,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-10),L (-10)
41.0,31.0,2023-01-06,29-226,LAC,MIN,0.0,24.683333333333334,9.0,14.0,0.643,3.0,5.0,0.6,0.0,1.0,0.0,0.0,6.0,6.0,0.0,2.0,0.0,1.0,2.0,21.0,16.4,5.0,9.0,6.0,0.6666666666666666,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,13.0,62.0,3.263157894736842,16.400000000000002,93.2,4.905263157894737,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-31),L (-31)
42.0,32.0,2023-01-08,29-228,LAC,ATL,0.0,31.216666666666665,3.0,13.0,0.231,2.0,5.0,0.4,6.0,8.0,0.75,1.0,2.0,3.0,4.0,0.0,0.0,1.0,2.0,14.0,7.6,-12.0,8.0,1.0,0.125,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,-1.0,87.0,4.578947368421052,5.200000000000001,111.4,5.863157894736842,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,,
43.0,33.0,2023-01-10,29-230,LAC,DAL,0.0,30.7,8.0,14.0,0.571,3.0,5.0,0.6,8.0,10.0,0.8,0.0,4.0,4.0,1.0,1.0,0.0,1.0,3.0,27.0,20.3,6.0,9.0,5.0,0.5555555555555556,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,8.0,115.0,6.052631578947368,17.100000000000005,123.5,6.5,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-13),L (-13)
44.0,34.0,2023-01-13,29-233,LAC,DEN,0.0,28.78333333333333,7.0,15.0,0.467,3.0,9.0,0.333,1.0,2.0,0.5,0.0,4.0,4.0,2.0,1.0,2.0,0.0,3.0,18.0,13.7,-5.0,6.0,4.0,0.6666666666666666,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,10.0,63.0,3.3157894736842106,13.299999999999995,86.39999999999999,4.547368421052632,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-4),L (-4)
45.0,35.0,2023-01-15,29-235,LAC,HOU,0.0,27.433333333333334,5.0,11.0,0.455,2.0,5.0,0.4,6.0,7.0,0.857,0.0,4.0,4.0,3.0,1.0,0.0,2.0,2.0,18.0,13.4,27.0,6.0,3.0,0.5,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,6.0,97.0,5.105263157894737,10.999999999999996,121.60000000000002,6.400000000000001,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,W (+12),W (+12)
46.0,36.0,2023-01-17,29-237,LAC,PHI,0.0,24.83333333333333,4.0,11.0,0.364,3.0,7.0,0.429,5.0,6.0,0.833,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,16.0,7.1,-15.0,4.0,1.0,0.25,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,-3.0,80.0,4.2105263157894735,5.100000000000001,104.70000000000002,5.510526315789474,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-12),L (-12)
47.0,37.0,2023-01-18,29-238,LAC,UTA,1.0,29.933333333333334,9.0,15.0,0.6,7.0,9.0,0.778,5.0,8.0,0.625,0.0,4.0,4.0,3.0,0.0,0.0,0.0,3.0,30.0,24.0,-3.0,6.0,2.0,0.3333333333333333,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,14.0,71.0,3.736842105263158,22.000000000000007,74.49999999999999,3.9210526315789465,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,W (+21),W (+21)
48.0,38.0,2023-01-20,29-240,LAC,SAS,0.0,26.7,9.0,11.0,0.818,4.0,5.0,0.8,4.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,26.0,22.8,-2.0,6.0,5.0,0.8333333333333334,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,15.0,87.0,4.578947368421052,21.200000000000003,115.4,6.0736842105263165,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-10),L (-10)
49.0,39.0,2023-01-22,29-242,LAC,DAL,0.0,30.28333333333333,6.0,12.0,0.5,2.0,5.0,0.4,5.0,5.0,1.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,19.0,13.5,20.0,7.0,4.0,0.5714285714285714,37,14,57,11,26,36,29,46,24,15,56,41,45,36,60,50.0,22.0,76.0,14.0,34.0,52.0,59.0,65.0,36.0,22.0,78.0,56.0,68.0,48.0,81.0,4.0,0.74,0.6363636363636364,0.75,0.7857142857142857,0.7647058823529411,0.6923076923076923,0.4915254237288136,0.7076923076923077,0.6666666666666666,0.6818181818181818,0.717948717948718,0.7321428571428571,0.6617647058823529,0.75,0.7407407407407407,0.0,11,8,11,9,56.0,69.0,46.0,79.0,73.0,0.1392405063291139,0.1428571428571428,0.1594202898550724,0.0,0.1232876712328767,19,6.0,70.0,3.684210526315789,11.499999999999998,86.90000000000002,4.5736842105263165,17.1,3.5,0.3,0.9,-0.7,0.1094051964784195,0.612,0.404,0.39,0.9,2.1,L (-23),L (-23)
