Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,2PA,2P,2P%,Shared Games with Aaron Gordon,Shared Games with Bones Hyland,Shared Games with Bruce Brown,Shared Games with Christian Braun,Shared Games with DeAndre Jordan,Shared Games with Ish Smith,Shared Games with Jack White,Shared Games with Jamal Murray,Shared Games with Jeff Green,Shared Games with Kentavious Caldwell-Pope,Shared Games with Michael Porter Jr.,Shared Games with Nikola Jokić,Shared Games with Peyton Watson,Shared Games with Vlatko Čančar,Shared Games with Zeke Nnaji,Aaron Gordon,Bones Hyland,Bruce Brown,Christian Braun,Collin Gillespie,DeAndre Jordan,Ish Smith,Jack White,Jamal Murray,Jeff Green,Kentavious Caldwell-Pope,Michael Porter Jr.,Nikola Jokić,Peyton Watson,Vlatko Čančar,Zeke Nnaji,co_inf with Aaron Gordon,co_inf with Bones Hyland,co_inf with Bruce Brown,co_inf with Christian Braun,co_inf with Collin Gillespie,co_inf with DeAndre Jordan,co_inf with Ish Smith,co_inf with Jack White,co_inf with Jamal Murray,co_inf with Jeff Green,co_inf with Kentavious Caldwell-Pope,co_inf with Michael Porter Jr.,co_inf with Nikola Jokić,co_inf with Peyton Watson,co_inf with Vlatko Čančar,co_inf with Zeke Nnaji,Shared Games with Anthony Davis,Shared Games with Austin Reaves,Shared Games with Cole Swider,Shared Games with Damian Jones,Shared Games with Dennis Schröder,Shared Games with Juan Toscano-Anderson,Shared Games with LeBron James,Shared Games with Lonnie Walker IV,Shared Games with Matt Ryan,Shared Games with Max Christie,Shared Games with Patrick Beverley,Shared Games with Russell Westbrook,Shared Games with Thomas Bryant,Shared Games with Troy Brown Jr.,Shared Games with Wenyen Gabriel,Shared Games with Reggie Jackson,Shared Games with D'Angelo Russell,Shared Games with Jarred Vanderbilt,Shared Games with Malik Beasley,Shared Games with Mo Bamba,Anthony Davis,Austin Reaves,Cole Swider,D'Angelo Russell,Dennis Schröder,Jarred Vanderbilt,Kendrick Nunn,LeBron James,Lonnie Walker IV,Malik Beasley,Max Christie,Mo Bamba,Onyeka Okongwu,Scotty Pippen Jr.,Shaquille Harrison,Sterling Brown,Tristan Thompson,Troy Brown Jr.,Wenyen Gabriel,co_inf with Anthony Davis,co_inf with Austin Reaves,co_inf with Cole Swider,co_inf with Dennis Schröder,co_inf with Kendrick Nunn,co_inf with LeBron James,co_inf with Lonnie Walker IV,co_inf with Max Christie,co_inf with Onyeka Okongwu,co_inf with Scotty Pippen Jr.,co_inf with Troy Brown Jr.,co_inf with Wenyen Gabriel,co_inf with D'Angelo Russell,co_inf with Jarred Vanderbilt,co_inf with Malik Beasley,co_inf with Mo Bamba,co_inf with Shaquille Harrison,co_inf with Sterling Brown,co_inf with Tristan Thompson,Total Shared Players,CO_EFF,EFF,avg_EFF,CO_HGS,HGS,avg_HGS
29,29,,2022-12-18,27-190,DEN,,CHO,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,89.0,2.5428571428571427,0.0,94.09999999999998,2.688571428571428
30,30,21,2022-12-20,27-192,DEN,,MEM,W (+14),0,1:38,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-2,0.0,0.0,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,1.0,109.0,3.1142857142857143,0.3,105.7,3.02
31,31,,2022-12-23,27-195,DEN,,POR,W (+13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,67.0,1.9142857142857144,0.0,76.79999999999998,2.194285714285714
32,32,,2022-12-25,27-197,DEN,,PHO,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,85.0,2.4285714285714284,0.0,89.2,2.5485714285714285
33,33,22,2022-12-27,27-199,DEN,@,SAC,W (+7),0,9:00,1.0,2.0,.500,1.0,2.0,.500,1,2.0,.500,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,4.0,4.2,+4,0.0,0.0,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,3.0,72.0,2.057142857142857,3.8,75.89999999999999,2.168571428571428
34,34,23,2022-12-28,27-200,DEN,@,SAC,L (-1),0,8:13,1.0,2.0,.500,0.0,1.0,.000,1,2.0,.500,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,4.6,-2,1.0,1.0,1.0,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,4.0,96.0,2.742857142857143,4.199999999999999,97.2,2.777142857142857
35,35,,2022-12-30,27-202,DEN,,MIA,W (+5),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,66.0,1.8857142857142857,0.0,76.9,2.1971428571428575
36,36,24,2023-01-01,27-204,DEN,,BOS,W (+12),0,1:38,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,-4,0.0,0.0,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,1.0,78.0,2.2285714285714286,0.3,83.7,2.3914285714285715
37,37,,2023-01-02,27-205,DEN,@,MIN,L (-13),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,85.0,2.4285714285714284,0.0,96.6,2.76
38,38,25,2023-01-05,27-208,DEN,,LAC,W (+31),0,8:43,1.0,3.0,.333,1.0,3.0,.333,0,0.0,,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.6,-5,0.0,0.0,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,3.0,59.0,1.6857142857142855,2.6,61.89999999999999,1.7685714285714282
39,39,26,2023-01-06,27-209,DEN,,CLE,W (+13),0,1:18,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0.0,0.0,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,1.0,78.0,2.2285714285714286,0.3,66.00000000000001,1.8857142857142861
40,40,27,2023-01-09,27-212,DEN,,LAL,W (+13),0,1:55,0.0,0.0,,0.0,0.0,,2,2.0,1.000,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0,0.0,0.0,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,2.0,76.0,2.171428571428572,2.2,92.0,2.6285714285714286
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,0.0,0.0,FG%,,,3P%,FT,0.0,FT%,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,GmSc,+/-,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,0.0,0.0,0.0,0.0,0.0
42,41,28,2023-01-11,27-214,DEN,,PHO,W (+29),0,5:35,0.0,0.0,,0.0,0.0,,0,0.0,,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.6,+2,0.0,0.0,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,4.0,71.0,2.0285714285714285,1.6,65.6,1.874285714285714
43,42,,2023-01-13,27-216,DEN,@,LAC,W (+12),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,99.0,2.8285714285714287,0.0,71.29999999999998,2.0371428571428565
44,43,,2023-01-15,27-218,DEN,,ORL,W (+3),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,78.0,2.2285714285714286,0.0,81.7,2.3342857142857145
45,44,29,2023-01-17,27-220,DEN,,POR,W (+9),0,2:02,1.0,1.0,1.000,0.0,0.0,,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.7,-7,1.0,1.0,1.0,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,0.0,72.0,2.057142857142857,0.7,80.7,2.3057142857142856
46,45,,2023-01-18,27-221,DEN,,MIN,W (+4),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,82.0,2.342857142857143,0.0,82.6,2.36
47,46,30,2023-01-20,27-223,DEN,,IND,W (+23),0,4:53,2.0,2.0,1.000,2.0,2.0,1.000,0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.7,-1,0.0,0.0,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,5.0,84.0,2.4,5.699999999999999,68.3,1.9514285714285713
48,47,,2023-01-22,27-225,DEN,,OKC,L (-2),Did Not Play,Did Not Play,0.0,0.0,Did Not Play,,,Did Not Play,Did Not Play,0.0,Did Not Play,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,Did Not Play,Did Not Play,,,,29,23,34,34,23,25,11,25,19,33,24,30,9,29,30,68.0,56.0,80.0,76.0,,39.0,43.0,17.0,65.0,56.0,76.0,62.0,69.0,23.0,60.0,53.0,0.4264705882352941,0.4107142857142857,0.425,0.4473684210526316,,0.5897435897435898,0.5813953488372093,0.6470588235294118,0.3846153846153846,0.3392857142857143,0.4342105263157895,0.3870967741935484,0.4347826086956521,0.391304347826087,0.4833333333333333,0.5660377358490566,6,8,1,12,7,15,6,5,9,2,22,25,22,8,7,19,5,8,8,4,56.0,64.0,7.0,71.0,66.0,78.0,70.0,55.0,56.0,81.0,41.0,49.0,80.0,6.0,5.0,4.0,,76.0,68.0,0.1071428571428571,0.125,0.1428571428571428,0.106060606060606,0.0,0.109090909090909,0.0892857142857142,0.048780487804878,0.0,0.0,0.1052631578947368,0.1029411764705882,0.0704225352112676,0.1025641025641025,0.0987654320987654,0.0816326530612244,0.0,0.0,,35,,74.0,2.1142857142857143,0.0,85.19999999999999,2.434285714285714
